col_name,comment
SO_ROAM_CNT_FREE_M1,SMS Roaming Free Transactions
SO_ROAM_CNT_M1,SMS Roaming Transactions
SO_ROAM_CNT_M3,SMS Roaming Transactions
SO_ROAM_CNT_M6,SMS Roaming Transactions
SO_ROAM_CNT_WK1,SMS Roaming Transactions
SO_ROAM_CNT_WK2,SMS Roaming Transactions
SO_ROAM_CNT_WK3,SMS Roaming Transactions
SO_ROAM_CNT_WK4,SMS Roaming Transactions
SO_ROAM_REV_M1,SMS Roaming Revenue
SO_ROAM_REV_M3,SMS Roaming Revenue
SO_ROAM_REV_M6,SMS Roaming Revenue
SO_ROAM_REV_WK1,SMS Roaming Revenue
SO_ROAM_REV_WK2,SMS Roaming Revenue
SO_ROAM_REV_WK3,SMS Roaming Revenue
SO_ROAM_REV_WK4,SMS Roaming Revenue
SO_STD_ACT_MOU_M1,Actual National SMS usage for a specific Month
SO_STD_CNT_CHRG_M1,SMS STD Charged Transactions
SO_STD_CNT_FREE_M1,SMS STD Free Transactions
SR_AVG_RSLTN_TIME_M1,SR Average resolution time.
SR_AVG_RSLTN_TIME_M2,SR Average resolution time.
SR_AVG_RSLTN_TIME_M3,SR Average resolution time.
SR_CNL_CNT_M1,Number of SR Channels
SR_CNL_CNT_M2,Number of SR Channels
SR_CNL_CNT_M3,Number of SR Channels
SR_CNL_CNT_M4,Number of SR Channels
SR_CNL_CNT_M5,Number of SR Channels
SR_CNL_CNT_M6,Number of SR Channels
SR_CNT_M1,Number of SRs raised.
SR_CNT_M2,Number of SRs raised.
SR_CNT_M3,Number of SRs raised.
SR_FAILED_M1,Number of failed SRs.
SR_FAILED_M2,Number of failed SRs.
SR_FAILED_M3,Number of failed SRs.
SR_SCND_TYPE_CNT_M1,Second Most Service Order Type Count
SR_SCND_TYPE_CNT_M2,Second Most Service Order Type Count
SR_SCND_TYPE_CNT_M3,Second Most Service Order Type Count
SR_SCND_TYPE_M1,Second Most Service Order Type
SR_SCND_TYPE_M2,Second Most Service Order Type
SR_SCND_TYPE_M3,Second Most Service Order Type
SR_SCND_TYPE_RSLTN_TIME_M1,Second Most Service Order Type Resolution time
SR_SCND_TYPE_RSLTN_TIME_M2,Second Most Service Order Type Resolution time
SR_SCND_TYPE_RSLTN_TIME_M3,Second Most Service Order Type Resolution time
SR_TOP_CNL_CNT_M1,Top Service Order Channel Count
SR_TOP_CNL_CNT_M2,Top Service Order Channel Count
SR_TOP_CNL_CNT_M3,Top Service Order Channel Count
SR_TOP_CNL_CNT_M4,Top Service Order Channel Count
SR_TOP_CNL_CNT_M5,Top Service Order Channel Count
SR_TOP_CNL_CNT_M6,Top Service Order Channel Count
SR_TOP_CNL_M1,Top Service Order Channel
SR_TOP_CNL_M2,Top Service Order Channel
SR_TOP_CNL_M3,Top Service Order Channel
SR_TOP_CNL_M4,Top Service Order Channel
SR_TOP_CNL_M5,Top Service Order Channel
SR_TOP_CNL_M6,Top Service Order Channel
SR_TOP_TYPE_CNT_M1,Top SR Type
SR_TOP_TYPE_CNT_M2,Top SR Type
SR_TOP_TYPE_CNT_M3,Top SR Type
SR_TOP_TYPE_M1,Top SR Type
SR_TOP_TYPE_M2,Top SR Type
SR_TOP_TYPE_M3,Top SR Type
SR_TOP_TYPE_RSLTN_TIME_M1,Top Service Order Type Resolution time
SR_TOP_TYPE_RSLTN_TIME_M2,Top Service Order Type Resolution time
SR_TOP_TYPE_RSLTN_TIME_M3,Top Service Order Type Resolution time
ST_DATA_LOCAL,Segment Type Data Local
ST_DATA_ROAM,Segment Type Data Roaming
ST_RCHRG,Segment Type Recharge
ST_SMS_STD,Segment Type SMS STD
ST_VO_IDD,Segment Type Voice IDD
ST_VO_ROAM,Segment Type Voice Roaming
ST_VO_STD,Segment Type Voice STD
STB_VWRSHP_DUR_SPNT,Set top box view duration
STRT_STP_FLG,In bundle start stop flag
STRT_STP_REV,In bundle start stop revenue
SVC_CNT_FXD,Single customer view fixed count
TENURE,The length of time the customer has been held as a subscriber
TOP_BRWSD_1_MNTHLY,Top browsed app monthly
TOP_BRWSD_2_MNTHLY,Top browsed app monthly
TOP_BRWSD_3_MNTHLY,Top browsed app monthly
TOP_BRWSD_4_MNTHLY,Top browsed app monthly
TOP_BRWSD_5_MNTHLY,Top browsed app monthly
TOP_CALD_IDD_MOU_M1,Top called IDD usage
TOP_CALD_STD_MOU_M1,Top called STD usage
TOP_CHNL_TOT_PMNT_RAT_M1,Top Channel Payment Ratio
TOP_ROAM_CTY_1,Top Roaming Country
TOP_ROAM_CTY_2,Top Roaming Country
TOP_ROAM_CTY_3,Top Roaming Country
TOPUP_AMNT_1,Indicates the amount of top up for the top denomination by customer
TOPUP_AMNT_2,Indicates the amount of top up for the top denomination by customer
TOPUP_CNT_1,Indicates the count of top up for the top denomination by customer
TOPUP_CNT_2,Indicates the count of top up for the top denomination by customer
TOPUP_MST_USD_DENOM_1,Indicates the most preferred denomation of top up by customer
TOPUP_MST_USD_DENOM_2,Indicates the most preferred denomation of top up by customer
TOT_DVC_PLAN_EMI_AMT,Total Device Plan Emi amount
TOT_DVC_PLAN_EMI_CNT,Total Device Plan EMI count
TOT_MRC_DATA_ADD_DEACT_M1,Total MRC of Data addon ceased in M1
TOT_MRC_DATA_ADDON_ACT_M1,Total MRC of Data addons activated in M1
TOT_MRC_IDD_ADDON_ACT_M1,Total MRC of IDD addons activated in M1
TOT_MRC_IDD_ADDON_DEACT_M1,Total MRC of IDD addon ceased in M1
TOT_MRC_ROAM_VO_ADDON_ACT_M1,Total MRC of Voice Roaming addons activated in M1
TOT_MRC_ROAM_VO_ADDON_DEACT_M1,Total MRC of Voice Roaming addon ceased in M1
TOT_MRC_STD_ADDON_ACT_M1,Total MRC of STD addons activated in M1
TOT_MRC_STD_ADDON_DEACT_M1,Total MRC of STD addon ceased in M1
TOT_RNTL_AMT,Indicates the total rental amount of the customer for the billing period
TOT700_AMT_M1,Monthly Total Type 700 Amount
TOTAL_RECURRING_AMOUNT,"Amount of charges that a customer has to pay after every pre-defined interval of time till the customer avails of the Service. This pre-defined interval of time can be monthly, quarterly, half-yearly, yearly, etc."
USG_TOT_REV,Indicates the total usage amount of the customer for the billing period
VAS_CD_CONT_BARR_ISD_FLG,Value Added service ISD Bar flag
VAS_CD_CONT_BARR_ISD_REV,Value Added service ISD Bar Revenue
VAS_CD_CONT_BARR_STD_FLG,Value Added service STD Bar flag
VAS_CD_CONT_BARR_STD_REV,Value Added service STD Bar Revenue
VAS_CFW_BSY_NO_ANS_FLG,Value Added service Busy No answer flag
VAS_CFW_BSY_NO_ANS_REV,Value Added service Busy No answer revenue
VAS_CLIP_FLG,Value Added service CLIP flag
VAS_CLIP_REV,Value Added service CLIP revenue
VAS_CONF_FLG,Value Added service conference flag
VAS_CONF_REV,Value Added service conference revenue
VAS_CW_FLG,Value Added service call waiting flag
VAS_CW_REV,Value Added service call waiting revenue
VAS_EXC_BARR_0_00_FLG,Value Added service call exclude incoming 0_00 flag
VAS_EXC_BARR_0_00_REV,Value Added service call exclude incoming  0_00 revenue
VAS_EXC_BARR_00_FLG,Value Added service call exclude 00 flag
VAS_EXC_BARR_00_REV,Value Added service call exclude 00 revenue
VAS_INC_EXC_BARR_FLG,Value added service inoming bar flag
VAS_INC_EXC_BARR_REV,Value added service inoming bar revenue
VAS_NAJMA_CALL_PLS_FLG,Value added service najma call please flag
VAS_NAJMA_CALL_PLS_REV,Value added service najma call please revenue
VAS_STARPACK_FLG,Value added service starpack flag
VAS_STARPACK_REV,Value added service starpack revenue
VAS_VM_FLG,Value added service voice mail flag
VAS_VM_REV,Value added service voice mail revenue
VCHR_ACT_CNT,Voucher currently active count
VCHR_DWN_AVG_M3,Voucher Downloaded Average in 3 months
VCHR_DWN_CNT,Voucher Downloaded Count
VCHR_EXPRD_CNT_M1,Voucher Expired Count
VCHR_RDMPTN_AVG_M3,Voucher Redeemed Average in 3 months
VI_CNT_M1,Indicates Number of Occurences of Incoming Voice events within a given month.
VI_DUR_M1,Indicates Duration (Seconds) of Incoming Voice events within a given month.
VI_DUR_M1_2,Indicates Duration (Seconds) of Incoming Voice events within a given month.
VO_CNT_CHRG_M1,Indicates Number of Occurences of Charged Local Voice events within a given month.
VO_CNT_CHRG_M3,Indicates Number of Occurences of Charged Local Voice events within a given month.
VO_CNT_CHRG_M6,Indicates Number of Occurences of Charged Local Voice events within a given month.
VO_CNT_CHRG_WK1,"Indicates Number of Occurences of Charged Local Voice events within a given month.
"
VO_CNT_CHRG_WK2,"Indicates Number of Occurences of Charged Local Voice events within a given month.
"
VO_CNT_CHRG_WK3,"Indicates Number of Occurences of Charged Local Voice events within a given month.
"
VO_CNT_CHRG_WK4,"Indicates Number of Occurences of Charged Local Voice events within a given month.
"
VO_CNT_FREE_M1,Indicates Number of Occurences of Free Local Voice events within a given month.
VO_CNT_FREE_M3,Indicates Number of Occurences of Free Local Voice events within a given month.
VO_CNT_FREE_M6,Indicates Number of Occurences of Free Local Voice events within a given month.
VO_CNT_FREE_WK1,"Indicates Number of Occurences of Free Local Voice events within a given month.
"
VO_CNT_FREE_WK2,"Indicates Number of Occurences of Free Local Voice events within a given month.
"
VO_CNT_FREE_WK3,"Indicates Number of Occurences of Free Local Voice events within a given month.
"
VO_CNT_FREE_WK4,"Indicates Number of Occurences of Free Local Voice events within a given month.
"
VO_CNT_IB_M1,Voice Incoming In Bundle Count
VO_CNT_IB_M3,Voice Incoming In Bundle Count
VO_CNT_IB_M6,Voice Incoming In Bundle Count
VO_CNT_IB_WK1,Voice Incoming In Bundle Count
VO_CNT_IB_WK2,Voice Incoming In Bundle Count
VO_CNT_IB_WK3,Voice Incoming In Bundle Count
VO_CNT_IB_WK4,Voice Incoming In Bundle Count
VO_CNT_M1,Indicates Number of Occurences of Total Local Voice events within a given month.
VO_CNT_M3,Indicates Number of Occurences of Total Local Voice events within a given month.
VO_CNT_M6,Indicates Number of Occurences of Total Local Voice events within a given month.
VO_CNT_OFFNT_M1,Indicates Number of Occurences of Local Voice Offnet events within a given month.
VO_CNT_OFFNT_M3,Indicates Number of Occurences of Local Voice Offnet events within a given month.
VO_CNT_OFFNT_M6,Indicates Number of Occurences of Local Voice Offnet events within a given month.
VO_CNT_OFFNT_WK1,"Indicates Number of Occurences of Local Voice Offnet events within a given month.
"
VO_CNT_OFFNT_WK2,"Indicates Number of Occurences of Local Voice Offnet events within a given month.
"
VO_CNT_OFFNT_WK3,"Indicates Number of Occurences of Local Voice Offnet events within a given month.
"
VO_CNT_OFFNT_WK4,"Indicates Number of Occurences of Local Voice Offnet events within a given month.
"
VO_CNT_ONNT_M1,Indicates Number of Occurences of Local Voice Onnet events within a given month.
VO_CNT_ONNT_M3,Indicates Number of Occurences of Local Voice Onnet events within a given month.
VO_CNT_ONNT_M6,Indicates Number of Occurences of Local Voice Onnet events within a given month.
VO_CNT_ONNT_WK1,"Indicates Number of Occurences of Local Voice Onnet events within a given month.
"
VO_CNT_ONNT_WK2,"Indicates Number of Occurences of Local Voice Onnet events within a given month.
"
VO_CNT_ONNT_WK3,"Indicates Number of Occurences of Local Voice Onnet events within a given month.
"
VO_CNT_ONNT_WK4,"Indicates Number of Occurences of Local Voice Onnet events within a given month.
"
VO_CNT_WK1,"Indicates Number of Occurences of Total Local Voice events within a given month.
"
VO_CNT_WK2,"Indicates Number of Occurences of Total Local Voice events within a given month.
"
VO_CNT_WK3,"Indicates Number of Occurences of Total Local Voice events within a given month.
"
VO_CNT_WK4,"Indicates Number of Occurences of Total Local Voice events within a given month.
"
VO_CNT_WKDAY_M1,"Indicates Number of Occurences of Total Local Voice events within a given month.
"
VO_CNT_WKEND_M1,"Indicates Number of Occurences of Total Local Voice events within a given month.
"
VO_CUG_CNT_CHRG_M1,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_CHRG_M3,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_CHRG_M6,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_CHRG_WK1,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_CHRG_WK2,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_CHRG_WK3,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_CHRG_WK4,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_FREE_M1,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_FREE_M3,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_FREE_M6,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_FREE_WK1,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_FREE_WK2,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_FREE_WK3,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_FREE_WK4,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_IB_M1,Voice CUG In Bundle Count
VO_CUG_CNT_IB_M3,Voice CUG In Bundle Count
VO_CUG_CNT_IB_M6,Voice CUG In Bundle Count
VO_CUG_CNT_IB_WK1,Voice CUG In Bundle Count
VO_CUG_CNT_IB_WK2,Voice CUG In Bundle Count
VO_CUG_CNT_IB_WK3,Voice CUG In Bundle Count
VO_CUG_CNT_IB_WK4,Voice CUG In Bundle Count
VO_CUG_CNT_M1,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_M3,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_M6,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_WK1,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_WK2,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_WK3,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_WK4,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_WKDAY_M1,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_CNT_WKEND_M1,Indicates Number of Occurences of Total Local Voice CUG events within a given month.
VO_CUG_MOU_CHRG_M1,Indicates Total Minutes of Charged Local Voice CUG events within a given month.
VO_CUG_MOU_CHRG_M3,Indicates Total Minutes of Charged Local Voice CUG events within a given month.
VO_CUG_MOU_CHRG_M6,Indicates Total Minutes of Charged Local Voice CUG events within a given month.
VO_CUG_MOU_CHRG_WK1,Indicates Total Minutes of Charged Local Voice CUG events within a given month.
VO_CUG_MOU_CHRG_WK2,Indicates Total Minutes of Charged Local Voice CUG events within a given month.
VO_CUG_MOU_CHRG_WK3,Indicates Total Minutes of Charged Local Voice CUG events within a given month.
VO_CUG_MOU_CHRG_WK4,Indicates Total Minutes of Charged Local Voice CUG events within a given month.
VO_CUG_MOU_FREE_M1,Indicates Total Minutes of Free Local Voice CUG events within a given month.
VO_CUG_MOU_FREE_M3,Indicates Total Minutes of Free Local Voice CUG events within a given month.
VO_CUG_MOU_FREE_M6,Indicates Total Minutes of Free Local Voice CUG events within a given month.
VO_CUG_MOU_FREE_WK1,Indicates Total Minutes of Free Local Voice CUG events within a given month.
VO_CUG_MOU_FREE_WK2,Indicates Total Minutes of Free Local Voice CUG events within a given month.
VO_CUG_MOU_FREE_WK3,Indicates Total Minutes of Free Local Voice CUG events within a given month.
VO_CUG_MOU_FREE_WK4,Indicates Total Minutes of Free Local Voice CUG events within a given month.
VO_CUG_MOU_IB_M1,Voice CUG In Bundle Usage
VO_CUG_MOU_IB_M3,Voice CUG In Bundle Usage
VO_CUG_MOU_IB_M6,Voice CUG In Bundle Usage
VO_CUG_MOU_IB_WK1,Voice CUG In Bundle Usage
VO_CUG_MOU_IB_WK2,Voice CUG In Bundle Usage
VO_CUG_MOU_IB_WK3,Voice CUG In Bundle Usage
VO_CUG_MOU_IB_WK4,Voice CUG In Bundle Usage
VO_CUG_MOU_M1,Indicates Total Minutes of Local Voice CUG events within a given month.
VO_CUG_MOU_M3,Indicates Total Minutes of Local Voice CUG events within a given month.
VO_CUG_MOU_M6,Indicates Total Minutes of Local Voice CUG events within a given month.
VO_CUG_MOU_WK1,Indicates Total Minutes of Local Voice CUG events within a given month.
VO_CUG_MOU_WK2,Indicates Total Minutes of Local Voice CUG events within a given month.
VO_CUG_MOU_WK3,Indicates Total Minutes of Local Voice CUG events within a given month.
VO_CUG_MOU_WK4,Indicates Total Minutes of Local Voice CUG events within a given month.
VO_CUG_REV_M1,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_CUG_REV_M3,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_CUG_REV_M6,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_CUG_REV_WK1,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_CUG_REV_WK2,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_CUG_REV_WK3,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_CUG_REV_WK4,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_CUG_REV_WKDAY_M1,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_CUG_REV_WKEND_M1,Indicates Total Revenue of Local Voice CUG events within a given month.
VO_F2F_OFFNT_CNT_M1,Voice Fixed to Fixed Offnet Count
VO_F2F_OFFNT_MOU_M1,Voice Fixed to Fixed Offnet Usage
VO_F2F_OFFNT_REV_M1,Voice Fixed to Fixed Offnet Revenue
VO_F2F_ONNT_CNT_M1,Indicates Number of Occurences of Fixed to Fixed Onnet events within a given month.
VO_F2F_ONNT_MOU_M1,Indicates Rounded Minutes of Fixed to Fixed Onnet events within a given month.
VO_F2F_ONNT_REV_M1,Indicates Total Revenue of Fixed to Fixed Onnet events within a given month.
VO_F2I_CNT_M1,Voice Fixed to International Count
VO_F2I_MOU_M1,Voice Fixed to International Usage
VO_F2I_REV_M1,Voice Fixed to International Revenue
VO_F2M_OFFNT_CNT_M1,Indicates Number of Occurences of Fixed to Mobile Offnet events within a given month.
VO_F2M_OFFNT_MOU_M1,Indicates Rounded Minutes of Fixed to Mobile Offnet events within a given month.
VO_F2M_OFFNT_REV_M1,Indicates Total Revenue of Fixed to Mobile Offnet events within a given month.
VO_F2M_ONNT_CNT_M1,Indicates Number of Occurences of Fixed to Mobile Onnet events within a given month.
VO_F2M_ONNT_MOU_M1,Indicates Rounded Minutes of Fixed to Mobile Onnet events within a given month.
VO_F2M_ONNT_REV_M1,Indicates Total Revenue of Fixed to Mobile Onnet events within a given month.
VO_FIX_CNT_CHRG_M1,Indicates Number of Occurences of Charged to Fixed events within a given month.
VO_FIX_CNT_CHRG_M3,Indicates Number of Occurences of Charged to Fixed events within a given month.
VO_FIX_CNT_CHRG_M6,Indicates Number of Occurences of Charged to Fixed events within a given month.
VO_FIX_CNT_CHRG_WK1,"Indicates Number of Occurences of Charged to Fixed events within a given month.
"
VO_FIX_CNT_CHRG_WK2,"Indicates Number of Occurences of Charged to Fixed events within a given month.
"
VO_FIX_CNT_CHRG_WK3,"Indicates Number of Occurences of Charged to Fixed events within a given month.
"
VO_FIX_CNT_CHRG_WK4,"Indicates Number of Occurences of Charged to Fixed events within a given month.
"
VO_FIX_CNT_FREE_M1,Indicates Number of Occurences of Free to Fixed events within a given month.
VO_FIX_CNT_FREE_M3,Indicates Number of Occurences of Free to Fixed events within a given month.
VO_FIX_CNT_FREE_M6,Indicates Number of Occurences of Free to Fixed events within a given month.
VO_FIX_CNT_FREE_WK1,"Indicates Number of Occurences of Free to Fixed events within a given month.
"
VO_FIX_CNT_FREE_WK2,"Indicates Number of Occurences of Free to Fixed events within a given month.
"
VO_FIX_CNT_FREE_WK3,"Indicates Number of Occurences of Free to Fixed events within a given month.
"
VO_FIX_CNT_FREE_WK4,"Indicates Number of Occurences of Free to Fixed events within a given month.
"
VO_FIX_CNT_IB_M1,Voice to Fixed In bundle count
VO_FIX_CNT_IB_M3,Voice to Fixed In bundle count
VO_FIX_CNT_IB_M6,Voice to Fixed In bundle count
VO_FIX_CNT_IB_WK1,Voice to Fixed In bundle count
VO_FIX_CNT_IB_WK2,Voice to Fixed In bundle count
VO_FIX_CNT_IB_WK3,Voice to Fixed In bundle count
VO_FIX_CNT_IB_WK4,Voice to Fixed In bundle count
VO_FIX_CNT_M1,Indicates Number of Occurences of Total to Fixed events within a given month.
VO_FIX_CNT_M3,Indicates Number of Occurences of Total to Fixed events within a given month.
VO_FIX_CNT_M6,Indicates Number of Occurences of Total to Fixed events within a given month.
VO_FIX_CNT_OFFNT_M1,Voice to Fixed offnet count
VO_FIX_CNT_OFFNT_M3,Voice to Fixed offnet count
VO_FIX_CNT_OFFNT_M6,Voice to Fixed offnet count
VO_FIX_CNT_OFFNT_WK1,Voice to Fixed offnet count
VO_FIX_CNT_OFFNT_WK2,Voice to Fixed offnet count
VO_FIX_CNT_OFFNT_WK3,Voice to Fixed offnet count
VO_FIX_CNT_OFFNT_WK4,Voice to Fixed offnet count
VO_FIX_CNT_ONNT_M1,Indicates Number of Occurences of Total to Fixed Onnet events within a given month.
VO_FIX_CNT_ONNT_M3,Indicates Number of Occurences of Total to Fixed Onnet events within a given month.
VO_FIX_CNT_ONNT_M6,Indicates Number of Occurences of Total to Fixed Onnet events within a given month.
VO_FIX_CNT_ONNT_WK1,"Indicates Number of Occurences of Total to Fixed Onnet events within a given month.
"
VO_FIX_CNT_ONNT_WK2,"Indicates Number of Occurences of Total to Fixed Onnet events within a given month.
"
VO_FIX_CNT_ONNT_WK3,"Indicates Number of Occurences of Total to Fixed Onnet events within a given month.
"
VO_FIX_CNT_ONNT_WK4,"Indicates Number of Occurences of Total to Fixed Onnet events within a given month.
"
VO_FIX_CNT_WK1,"Indicates Number of Occurences of Total to Fixed events within a given month.
"
VO_FIX_CNT_WK2,"Indicates Number of Occurences of Total to Fixed events within a given month.
"
VO_FIX_CNT_WK3,"Indicates Number of Occurences of Total to Fixed events within a given month.
"
VO_FIX_CNT_WK4,"Indicates Number of Occurences of Total to Fixed events within a given month.
"
VO_FIX_CNT_WKDAY_M1,"Indicates Number of Occurences of Total to Fixed events within a given month.
"
VO_FIX_CNT_WKEND_M1,"Indicates Number of Occurences of Total to Fixed events within a given month.
"
VO_FIX_MOU_CHRG_M1,Indicates Rounded Minutes of Charged to Fixed events within a given month.
VO_FIX_MOU_CHRG_M3,Indicates Rounded Minutes of Charged to Fixed events within a given month.
VO_FIX_MOU_CHRG_M6,Indicates Rounded Minutes of Charged to Fixed events within a given month.
VO_FIX_MOU_CHRG_WK1,"Indicates Rounded Minutes of Charged to Fixed events within a given month.
"
VO_FIX_MOU_CHRG_WK2,"Indicates Rounded Minutes of Charged to Fixed events within a given month.
"
VO_FIX_MOU_CHRG_WK3,"Indicates Rounded Minutes of Charged to Fixed events within a given month.
"
VO_FIX_MOU_CHRG_WK4,"Indicates Rounded Minutes of Charged to Fixed events within a given month.
"
VO_FIX_MOU_FREE_M1,Indicates Rounded Minutes of Free to Fixed events within a given month.
VO_FIX_MOU_FREE_M3,Indicates Rounded Minutes of Free to Fixed events within a given month.
VO_FIX_MOU_FREE_M6,Indicates Rounded Minutes of Free to Fixed events within a given month.
VO_FIX_MOU_FREE_WK1,"Indicates Rounded Minutes of Free to Fixed events within a given month.
"
VO_FIX_MOU_FREE_WK2,"Indicates Rounded Minutes of Free to Fixed events within a given month.
"
VO_FIX_MOU_FREE_WK3,"Indicates Rounded Minutes of Free to Fixed events within a given month.
"
VO_FIX_MOU_FREE_WK4,"Indicates Rounded Minutes of Free to Fixed events within a given month.
"
VO_FIX_MOU_IB_M1,Voice to Fixed In bundle Usage
VO_FIX_MOU_IB_M3,Voice to Fixed In bundle Usage
VO_FIX_MOU_IB_M6,Voice to Fixed In bundle Usage
VO_FIX_MOU_IB_WK1,Voice to Fixed In bundle Usage
VO_FIX_MOU_IB_WK2,Voice to Fixed In bundle Usage
VO_FIX_MOU_IB_WK3,Voice to Fixed In bundle Usage
VO_FIX_MOU_IB_WK4,Voice to Fixed In bundle Usage
VO_FIX_MOU_M1,Indicates Rounded Minutes of Total to Fixed events within a given month.
VO_FIX_MOU_M3,Indicates Rounded Minutes of Total to Fixed events within a given month.
VO_FIX_MOU_M6,Indicates Rounded Minutes of Total to Fixed events within a given month.
VO_FIX_MOU_OFFNT_M1,Voice to Fixed offnet Usage
VO_FIX_MOU_OFFNT_M3,Voice to Fixed offnet Usage
VO_FIX_MOU_OFFNT_M6,Voice to Fixed offnet Usage
VO_FIX_MOU_OFFNT_WK1,Voice to Fixed offnet Usage
VO_FIX_MOU_OFFNT_WK2,Voice to Fixed offnet Usage
VO_FIX_MOU_OFFNT_WK3,Voice to Fixed offnet Usage
VO_FIX_MOU_OFFNT_WK4,Voice to Fixed offnet Usage
VO_FIX_MOU_OFFNT_WKDAY_M1,Monthly Weekday Voice Fixed Offnet MOU
VO_FIX_MOU_OFFNT_WKEND_M1,Monthly Weekend Voice Fixed Offnet MOU
VO_FIX_MOU_ONNT_M1,Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
VO_FIX_MOU_ONNT_M3,Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
VO_FIX_MOU_ONNT_M6,Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
VO_FIX_MOU_ONNT_WK1,"Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
"
VO_FIX_MOU_ONNT_WK2,"Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
"
VO_FIX_MOU_ONNT_WK3,"Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
"
VO_FIX_MOU_ONNT_WK4,"Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
"
VO_FIX_MOU_ONNT_WKDAY_M1,"Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
"
VO_FIX_MOU_ONNT_WKEND_M1,"Indicates Rounded Minutes of Total to Fixed Onnet events within a given month.
"
VO_FIX_MOU_WK1,"Indicates Rounded Minutes of Total to Fixed events within a given month.
"
VO_FIX_MOU_WK2,"Indicates Rounded Minutes of Total to Fixed events within a given month.
"
VO_FIX_MOU_WK3,"Indicates Rounded Minutes of Total to Fixed events within a given month.
"
VO_FIX_MOU_WK4,"Indicates Rounded Minutes of Total to Fixed events within a given month.
"
VO_FIX_REV_M1,Indicates Total Revenue of Total to Fixed events within a given month.
VO_FIX_REV_M3,Indicates Total Revenue of Total to Fixed events within a given month.
VO_FIX_REV_M6,Indicates Total Revenue of Total to Fixed events within a given month.
VO_FIX_REV_OFFNT_M1,Monthly Voice Fixed Offnet Revenue
VO_FIX_REV_OFFNT_M3,Monthly Voice Fixed Offnet Revenue
VO_FIX_REV_OFFNT_M6,Monthly Voice Fixed Offnet Revenue
VO_FIX_REV_OFFNT_WK1,Weekly Voice Fixed Offnet Revenue
VO_FIX_REV_OFFNT_WK2,Weekly Voice Fixed Offnet Revenue
VO_FIX_REV_OFFNT_WK3,Weekly Voice Fixed Offnet Revenue
VO_FIX_REV_OFFNT_WK4,Weekly Voice Fixed Offnet Revenue
VO_FIX_REV_ONNT_M1,Indicates Total Revenue of Total to Fixed Onnet events within a given month.
VO_FIX_REV_ONNT_M3,Indicates Total Revenue of Total to Fixed Onnet events within a given month.
VO_FIX_REV_ONNT_M6,Indicates Total Revenue of Total to Fixed Onnet events within a given month.
VO_FIX_REV_ONNT_WK1,"Indicates Total Revenue of Total to Fixed Onnet events within a given month.
"
VO_FIX_REV_ONNT_WK2,"Indicates Total Revenue of Total to Fixed Onnet events within a given month.
"
